component1,component2,component3,sigma,lcm
-4.672364,-3.1040826,0.39470378,0.6,0.8
-4.6413283,-3.100025,0.40544286,0.61,0.8
-4.6108046,-3.0957541,0.41613832,0.62,0.8
-4.580786,-3.0912871,0.42678437,0.63,0.8
-4.5512657,-3.0866368,0.43737474,0.64,0.8
-4.522236,-3.0818174,0.4479061,0.65,0.8
-4.4936895,-3.076839,0.4583713,0.66,0.8
-4.465618,-3.071716,0.46877018,0.67,0.8
-4.438016,-3.0664597,0.47909573,0.68,0.8
-4.4108744,-3.0610812,0.4893464,0.69,0.8
-4.384183,-3.0555878,0.4995192,0.7,0.8
-4.3579383,-3.0499926,0.5096102,0.71,0.8
-4.332129,-3.0443025,0.51961875,0.72,0.8
-4.306749,-3.0385275,0.5295415,0.73,0.8
-4.28179,-3.0326743,0.53937835,0.74,0.8
-4.257244,-3.0267525,0.54912543,0.75,0.8
-4.233103,-3.0207686,0.55878294,0.76,0.8
-4.209361,-3.0147276,0.5683491,0.77,0.8
-4.1860075,-3.0086374,0.5778236,0.78,0.8
-4.1630363,-3.002504,0.58720493,0.79,0.8
-4.140442,-2.9963346,0.5964931,0.8,0.8
-4.1182146,-2.9901314,0.605688,0.81,0.8
-4.0963473,-2.9839015,0.61478746,0.82,0.8
-4.0748343,-2.97765,0.6237927,0.83,0.8
-4.053666,-2.9713793,0.6327033,0.84,0.8
-4.03284,-2.965096,0.6415193,0.85,0.8
-4.012345,-2.9588027,0.65024114,0.86,0.8
-3.9921763,-2.9525025,0.65886796,0.87,0.8
-3.972328,-2.9462004,0.66740143,0.88,0.8
-3.952792,-2.9398985,0.6758405,0.89,0.8
-3.9335628,-2.9335997,0.6841861,0.9,0.8
-3.9146354,-2.9273076,0.6924386,0.91,0.8
-3.8960018,-2.9210248,0.70059896,0.92,0.8
-3.8776584,-2.914754,0.7086664,0.93,0.8
-3.8595965,-2.9084957,0.7166425,0.94,0.8
-3.8418121,-2.9022546,0.7245279,0.95,0.8
-3.8242996,-2.89603,0.73232317,0.96,0.8
-3.8070536,-2.889826,0.7400284,0.97,0.8
-3.7900684,-2.8836432,0.7476438,0.98,0.8
-3.7733386,-2.8774836,0.7551716,0.99,0.8
-3.75686,-2.8713484,0.76261085,1.0,0.8
-6.794894,-4.0988355,-0.56918204,0.01,0.9
-6.793004,-4.098122,-0.56535435,0.02,0.9
-6.789827,-4.096913,-0.5589905,0.03,0.9
-6.7853193,-4.0951753,-0.55012214,0.04,0.9
-6.7794337,-4.0928674,-0.5387809,0.05,0.9
-6.772099,-4.0899525,-0.5250267,0.06,0.9
-6.762864,-4.0869484,-0.509436,0.07,0.9
-6.752014,-4.083279,-0.4916149,0.08,0.9
-6.739501,-4.0788727,-0.47163615,0.09,0.9
-6.7252865,-4.073659,-0.44958314,0.1,0.9
-6.7093444,-4.0675693,-0.42554662,0.11,0.9
-6.6916094,-4.0606284,-0.40025696,0.12,0.9
-6.672089,-4.0527825,-0.37379572,0.13,0.9
-6.6508503,-4.0439205,-0.34573993,0.14,0.9
-6.6279287,-4.034023,-0.31621465,0.15,0.9
-6.603156,-4.0232697,-0.2857835,0.16,0.9
-6.574204,-4.013756,-0.25922987,0.17,0.9
-6.543726,-4.003245,-0.23168407,0.18,0.9
-6.5120807,-3.992571,-0.20379649,0.19,0.9
-6.4794817,-3.9821038,-0.17591713,0.2,0.9
-6.4452953,-3.972003,-0.14860676,0.21,0.9
-6.4084177,-3.9663663,-0.12588249,0.22,0.9
-6.3697357,-3.959353,-0.10429106,0.23,0.9
-6.3294935,-3.9510622,-0.08365724,0.24,0.9
-6.2885284,-3.9419327,-0.062613465,0.25,0.9
-6.246952,-3.9320018,-0.041223507,0.26,0.9
-6.204874,-3.921314,-0.019546965,0.27,0.9
-6.162755,-3.9117472,0.0007374486,0.28,0.9
-6.120555,-3.902666,0.020180365,0.29,0.9
-6.078127,-3.8929129,0.039792556,0.3,0.9
-6.0355506,-3.8825278,0.059532184,0.31,0.9
-5.992902,-3.8715587,0.07935753,0.32,0.9
-5.9502487,-3.860045,0.099232934,0.33,0.9
-5.9071712,-3.8488412,0.11834254,0.34,0.9
-5.863991,-3.8375459,0.13708188,0.35,0.9
-5.820997,-3.8258028,0.15580036,0.36,0.9
-5.7782373,-3.8136518,0.1744739,0.37,0.9
-5.7349653,-3.801909,0.19189693,0.38,0.9
-5.690457,-3.7913616,0.20690466,0.39,0.9
-5.64637,-3.7804408,0.22191216,0.4,0.9
-5.6027327,-3.7691803,0.23690178,0.41,0.9
-5.5595694,-3.7576108,0.25185433,0.42,0.9
-5.516902,-3.745763,0.26675645,0.43,0.9
-5.4747477,-3.7336645,0.28159407,0.44,0.9
-5.4331226,-3.7213426,0.29635468,0.45,0.9
-5.3920407,-3.7088249,0.311025,0.46,0.9
-5.3515105,-3.6961334,0.32559696,0.47,0.9
-5.3115387,-3.6832895,0.34006128,0.48,0.9
-5.2721343,-3.6703181,0.3544084,0.49,0.9
-5.2333,-3.6572366,0.36863163,0.5,0.9
-5.195039,-3.644065,0.3827249,0.51,0.9
-5.1573486,-3.6308184,0.3966833,0.52,0.9
-5.1202335,-3.6175144,0.41050068,0.53,0.9
-5.0836906,-3.604168,0.42417303,0.54,0.9
-5.0477166,-3.590793,0.43769655,0.55,0.9
-5.0123105,-3.5774026,0.4510685,0.56,0.9
-4.9774666,-3.5640085,0.4642879,0.57,0.9
-4.9433584,-3.5511773,0.4770178,0.58,0.9
-4.909898,-3.5386505,0.48942128,0.59,0.9
-4.876975,-3.526126,0.50167936,0.6,0.9
-4.844585,-3.5136166,0.5137897,0.61,0.9
-4.8127227,-3.5011284,0.52575386,0.62,0.9
-4.7813787,-3.4886708,0.5375706,0.63,0.9
-4.750549,-3.4762511,0.5492386,0.64,0.9
-4.7198544,-3.4641063,0.5607585,0.65,0.9
-4.6895633,-3.4520702,0.5721293,0.66,0.9
-4.6597695,-3.440086,0.5833538,0.67,0.9
-4.630464,-3.4281602,0.59443074,0.68,0.9
-4.6016383,-3.4162955,0.60536075,0.69,0.9
-4.573286,-3.4044988,0.61614585,0.7,0.9
-4.5453978,-3.3927708,0.6267856,0.71,0.9
-4.5179663,-3.3811173,0.6372823,0.72,0.9
-4.4909835,-3.369542,0.6476361,0.73,0.9
-4.4644413,-3.3580456,0.65784925,0.74,0.9
-4.438332,-3.346632,0.6679234,0.75,0.9
-4.412647,-3.3353024,0.6778585,0.76,0.9
-4.38738,-3.324061,0.68765724,0.77,0.9
-4.3625207,-3.312908,0.69732046,0.78,0.9
-4.3380637,-3.3018453,0.70685065,0.79,0.9
-4.314,-3.290874,0.7162489,0.8,0.9
-4.290324,-3.2799964,0.7255159,0.81,0.9
-4.267026,-3.2692125,0.7346554,0.82,0.9
-4.2440996,-3.2585235,0.7436677,0.83,0.9
-4.221538,-3.24793,0.7525549,0.84,0.9
-4.199333,-3.2374325,0.7613183,0.85,0.9
-4.1774797,-3.2270322,0.7699606,0.86,0.9
-4.1559687,-3.2167284,0.7784822,0.87,0.9
-4.134795,-3.206521,0.7868851,0.88,0.9
-4.113952,-3.1964116,0.79517275,0.89,0.9
-4.093432,-3.1863995,0.8033446,0.9,0.9
-4.07323,-3.1764836,0.8114032,0.91,0.9
-4.053338,-3.1666646,0.819349,0.92,0.9
-4.0337524,-3.1569433,0.82718515,0.93,0.9
-4.0144644,-3.147317,0.83491325,0.94,0.9
-3.9954705,-3.1377878,0.84253454,0.95,0.9
-3.9767628,-3.1283526,0.8500497,0.96,0.9
-3.958337,-3.1190128,0.85746163,0.97,0.9
-3.940188,-3.1097677,0.86477035,0.98,0.9
-3.922309,-3.1006165,0.8719783,0.99,0.9
-3.9046955,-3.0915577,0.879086,1.0,0.9
-6.7758737,-5.1717916,-0.5810119,0.01,1.0
-6.773876,-5.169719,-0.5774963,0.02,1.0
-6.770532,-5.1662393,-0.5716523,0.03,1.0
