MSEtrain,MSEvalid
4.904117e-5,4.050435e-5
4.8849568e-5,4.0239647e-5
4.8950857e-5,4.0386996e-5
4.888758e-5,4.0217587e-5
4.8822716e-5,4.031291e-5
4.8824102e-5,4.0229388e-5
4.881934e-5,4.0157167e-5
4.884497e-5,4.033008e-5
4.8851256e-5,4.02783e-5
4.9400183e-5,4.0969935e-5
4.8808903e-5,4.0254137e-5
4.8872902e-5,4.0264647e-5
4.879092e-5,4.017256e-5
4.8832735e-5,4.022493e-5
4.877296e-5,4.0199735e-5
4.880129e-5,4.0250656e-5
4.9000286e-5,4.03272e-5
4.87991e-5,4.0245428e-5
4.89075e-5,4.0251492e-5
4.8821446e-5,4.0290608e-5
4.883761e-5,4.0150167e-5
4.8835667e-5,4.0338207e-5
4.902942e-5,4.0351515e-5
4.888148e-5,4.023427e-5
4.954729e-5,4.0817038e-5
4.8850143e-5,4.0279967e-5
4.9337646e-5,4.0587558e-5
4.878751e-5,4.018713e-5
4.8816175e-5,4.0227515e-5
4.879376e-5,4.012083e-5
4.885381e-5,4.0305804e-5
4.8955044e-5,4.0316452e-5
4.8879952e-5,4.0270545e-5
4.879243e-5,4.0229563e-5
4.889399e-5,4.0303512e-5
4.8931954e-5,4.0250317e-5
4.8837737e-5,4.0244384e-5
4.8839367e-5,4.0156272e-5
4.8855803e-5,4.01838e-5
4.884032e-5,4.0154926e-5
4.9540053e-5,4.1173524e-5
4.925277e-5,4.080551e-5
4.8826776e-5,4.0279367e-5
4.9016642e-5,4.0323255e-5
4.8824513e-5,4.0262716e-5
4.8781178e-5,4.0196635e-5
4.889715e-5,4.0202376e-5
4.8935544e-5,4.0261e-5
4.8976082e-5,4.03727e-5
4.8819456e-5,4.0251824e-5
4.9152753e-5,4.0618175e-5
4.8928516e-5,4.021494e-5
4.904589e-5,4.044267e-5
4.8964925e-5,4.0450133e-5
4.8816422e-5,4.0167753e-5
4.881242e-5,4.014967e-5
4.889617e-5,4.0333427e-5
4.890089e-5,4.0223553e-5
4.878941e-5,4.0124563e-5
4.8843893e-5,4.025293e-5
4.8964033e-5,4.0406234e-5
4.898112e-5,4.0408006e-5
